1602003840000 ms,@davenavarro6767 12 hours of sleep! What's that like?,1,1,,,,
1601960280000 ms,@Boosh_Beast I know....simons such a softy,1,0,,,,
1601981760000 ms,@bradcollinswtw so im guessing they didnt wear your shirt last night  devooo ha.,0,0,,,,
1602008640000 ms,@davesjessica Hello Jessica.  Sorry your boys are sick   They haven't infected you have they?  We decided it was to much bromance action,0,0,,,,
1601947200000 ms,"\@Bones_Fans Oh""",1,0,,,,
1601978880000 ms,@bpastorin I miss you too,0,0,,,,
1601971680000 ms,@bowenandarrow so sad not to be going  stupid baby ruins everything :p,0,0,,,,
1601941080000 ms,"\@bojkowski heh""",1,0,,,,
1601972400000 ms,@bowwow614  u grind early in the morning and it is appreciated..not to many males winning now a days,1,1,,,,
1601942280000 ms,"\@bombalicous I'll blog about you in exchange for some cupcakes.    They would make great baby shower favors""",1,1,,,,
1602015120000 ms,@daveofquarrel  So mad I couldn't make it to this.,0,0,,,,
1601995800000 ms,@davehendrik :that's what a shopacholic usually said to themselves...,1,0,,,,
1601955600000 ms,@BookRambler You're very welcome  I've had a few wobblers with the house renovation this week - it's all getting a bit much!! :s,1,1,,,,
1601937480000 ms,"\@DaStreetPoliBoy  biggest lie: I love you      Most common lie: yeah""",1,1,,,,
1601988000000 ms,"\@BradleyF81 It would be cool if my car wouldn't be full of dents  Boy""",1,0,,,,
1601994000000 ms,@davecurlee it was great to finally meet you IRL too! Hope to see you at #wordcamp LA in sept?,1,1,,,,
1601993520000 ms,"\@DaveCharest Thanks for recommending me to @MrTweet_Alert""",1,1,,,,
1602019560000 ms,@davesusetty Aw ~ where abouts are you?  I think we might miss crap weather today but will hit us later,0,0,,,,
1602017640000 ms,@David_Henrie good choice,1,1,,,,
1601979480000 ms,@bpmann Thanks for that! I REALLY tried hard with the free content so I'm glad you liked it  We've had some great feedback so far,1,1,,,,
1602016680000 ms,@David_DB FOLLOW ME,1,1,,,,
1601971080000 ms,@bourko Keep an eye out for their new Bengal IPA as well as the Golden Dragon Strong Celtic Ale,1,1,,,,
1601951760000 ms,@bonzrat ouch!,1,0,,,,
1601954640000 ms,@bookingmama just think I can say I knew when you when,1,1,,,,
1601977440000 ms,@Boyislost thanks for the followfriday,1,1,,,,
1602000000000 ms,@davekellett Oh my God. That's awful. What happened?,1,0,,,,
1601980680000 ms,@BR33ZY23 because u guys r gonna be famous. and you'll all be 2 busy to hang out!,1,0,,,,
1601970960000 ms,@bourgeoisguilt Awww  no fun! lol,0,0,,,,
1601964840000 ms,"\@bornfromblue ughh parker""",1,0,,,,
1602014880000 ms,"\@davenportjl5 when r u going to Japan??? bring me a souvenir if you can""",1,1,,,,
1601979240000 ms,@BPhotography85 Im prayin for u.  *~ Whit ~*,1,1,,,,
1602006000000 ms,@davejmatthews @slessard see you guys tonight!  i'll be in the very last row of the upper balcony,0,1,,,,
1601988480000 ms,@bradleypotter oh snap  that's awesome! Camp WooThemes. #ilike,1,1,,,,
1601994480000 ms,@daveellis0808 Fraid not  Sold that big tent a while back.,0,0,,,,
1601956560000 ms,"\@BookThingo I want to read P. D. James's THE CHILDREN OF MEN""",1,1,,,,
1602001920000 ms,@daveexplosm What part of America are you headed for? Here's a preemptive welcome,1,1,,,,
1601941560000 ms,@Bolanile hey u in my City! My dirty city!,1,1,,,,
1601977800000 ms,@Boys_Like_Girls I am here in winter  aahahah,1,1,,,,
1601961840000 ms,@bootyinvasion i also changed the name to &quot,cheeks&quot, so it's official. OB is in the house,1,1,,
1601961960000 ms,@boozby i get that from my manager EVERYDAY,1,1,,,,
1601999280000 ms,"\@DaveJMatthews good morning friend""",1,1,,,,
1602013800000 ms,@DaveyPitch excellent! I've got a 32g touch and I still keep running out of space  I do use it all the time though so that's why!!,0,1,,,,
1601980920000 ms,"\@brabakr my hubby cuts metal @ his work for a living &amp; when he has scrap""",0,0,,,,
1601972040000 ms,"\@BowlMeOverVa  u r welcome   Thankfully""",1,1,,,,
1601955840000 ms,@booksandquills Still 11� hours to be productive left!,1,1,,,,
1602005280000 ms,@daverage thanks for the offer. My gaming is pretty limited to GH though but I'll def have a look at your site.,1,1,,,,
1601950200000 ms,@BonnieBrown Morning! Still cross-eyed?,1,1,,,,
1601958960000 ms,@Boomstone @Mommykins41 Now U think I'm totally weird don't ya?  I don't have one now.  I swear.,0,0,,,,
1601981520000 ms,@Bradausrotas yeahh!  i miss ya Brad of Paradise lol...you need a nickname!,0,1,,,,
1601951160000 ms,"\@bonniestwit @nycgrl88 This 1 I probaby wont esplain. But trust me""",0,1,,,,
1601976480000 ms,@boygenius  lol I do.  Especially when you could kick them off for hours,1,1,,,,
1602011880000 ms,@davettez hey there! glad to see you on twitter,1,1,,,,
1602018840000 ms,@DaveSch High School Musical 3? &quot,... You can do it just know that I believe&quot, *sing* haha. This ish is gonna be fun.,1,1,,
1601946000000 ms,@BondGyrl Hey Theda! What's your #mymotivation?,1,1,,,,
1601977200000 ms,@Boyislost nope not yet  its as lonely as ever,0,0,,,,
1601940240000 ms,@BohoGlam  i can't wait till tuesday either babe. It'll be fun &lt,3,1,1,,,
1601940720000 ms,@boilerfan_98 What you went to HOB?!?!  LOL.... I can't believe we missed Sexify My Love,0,0,,,,
1601996160000 ms,@daveingland sounds like a plan for one of these days  Glad you made it home safe.,1,1,,,,
1601939640000 ms,@DaThirdEye no bread,0,0,,,,
1601949120000 ms,@bonjourmyvette thats a shame  i hope its a rumor,0,0,,,,
1602010200000 ms,"\@davemacdonald @shanegibson your teacher study with my teacher  Datu Shisher""",1,1,,,,
1601986560000 ms,@bradiewebbstack thank jodie for your newfound amazing spelling,1,1,,,,
1601955960000 ms,"\@booksbelow I love this town and there's a TON of folks to talk to here""",1,1,,,,
1601966640000 ms,@Bossmobb Goodmorning to U n Goodnite I'm goin to bed.,1,1,,,,
1601936520000 ms,"\@dashpr To match the shoes""",1,1,,,,
1601974440000 ms,@bowzerscastle i wish i could sleep that long,0,0,,,,
1602002040000 ms,@davefmv i hate football people as much as i hate female singers,0,0,,,,
1602002760000 ms,@daveharte Well done!,1,1,,,,
1601991840000 ms,"\@brahmresnik you are full of good news today""",1,1,,,,
1602013200000 ms,"\@daveybarnett it's worth a trip to Bean for a curlywurly milkshake anyway""",1,1,,,,
1602015600000 ms,@daveracingkites http://twitpic.com/5ezxy - go to bed.,1,1,,,,
1602003720000 ms,"\@DaveMyers1 Work or no work""",0,0,,,,
1601986680000 ms,"\@bradiewebbstack thanks for yesterday""",1,1,,,,
1601982480000 ms,@bradgal Sure thing.  Hope you have a great week,1,1,,,,
1602004560000 ms,"\@davepeck hey dave im alex""",1,1,,,,
1601948160000 ms,"\@bongarcon8 Hello. Sorry""",0,0,,,,
1601950800000 ms,@bonnieroseleigh  I hope you feel better enough to be productive.,0,0,,,,
1601983560000 ms,"\@bradiewebb""",1,1,,,,
1601958480000 ms,"\@boomerjack Thank you""",1,1,,,,
1601965440000 ms,@bortflancrest Yay! I've totally been having withdrawals. Whatever happened to fun people?,1,0,,,,
1601998080000 ms,@Brajeshwar that is some show size,1,1,,,,
1602018720000 ms,@Daves_Cornbread Hope you're not mad I didn't wait.,0,0,,,,
1601993400000 ms,@davecaughey glad youre in love  enjoy,1,1,,,,
1601949000000 ms,@BonjourHoney I am in mourning for my straight hair. R.I.P.  lol.,1,0,,,,
1601961720000 ms,@BootsRiley what stores? there's no stores left!,1,0,,,,
1601984400000 ms,@bradiewebbstack aww  you should just give me a call NOW! and we will talk until 4    what do you rekon?,1,0,,,,
1601959680000 ms,"\@BooneWallbeds   important EU Vote day""",0,1,,,,
